키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072767665,덕성여대면접,https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,500
grp-a001-01-000000072767669,이화여대면접,https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,700
grp-a001-01-000000072767669,이대면접,https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,700
grp-a001-01-000000072767669,이화여대면접학원,https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,500
grp-a001-01-000000072767705,가천대면접,https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,500
grp-a001-01-000000072767705,가천대면접질문,https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,500
grp-a001-01-000000072767705,가천대면접학원,https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,700
grp-a001-01-000000072767705,가천대학교면접,https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,700
grp-a001-01-000000072767705,가천대면접준비,https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,700
grp-a001-01-000000072767705,가천대면접기출,https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,500
grp-a001-01-000000072767724,한양대에리카면접,https://hyunhak.com/guidebook/hanyang-erica.html,https://hyunhak.com/guidebook/hanyang-erica.html,500
grp-a001-01-000000072767728,한국외대면접,https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,500
grp-a001-01-000000072767747,인천대면접,https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,500
grp-a001-01-000000072767747,인천대입면접학원,https://hyunhak.com/guidebook/incheon.html,https://hyunhak.com/guidebook/incheon.html,700
grp-a001-01-000000072767753,인하대면접,https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,700
grp-a001-01-000000072767753,인하대수시면접,https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,500
grp-a001-01-000000072767758,경희대면접,https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,700
grp-a001-01-000000072767758,경희대학교면접,https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,700
grp-a001-01-000000072767763,건국대면접,https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,700
grp-a001-01-000000072767763,건국대학교면접,https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,700
grp-a001-01-000000072767763,건국대수시면접,https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,500
grp-a001-01-000000072767768,국민대면접,https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,700
grp-a001-01-000000072767772,고려대면접,https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,700
grp-a001-01-000000072767772,고려대제시문면접,https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,700
grp-a001-01-000000072767772,고려대학교면접,https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,700
grp-a001-01-000000072767772,고려대면접학원,https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,700
