motion2 post|1440x900|N4|gap600 [["R",2,"0,1,2,-1>-1,0,1,2",0,"0/38",null],["R",3,"-1,0,1,2>-2,-1,0,1",0,"0/37",null],["R",4,"-2,-1,0,1>1,-2,-1,0",46420,"10/37",[15,0,1,986,1382,"none"]],["R",1,"1,-2,-1,0>0,1,2,-1",134937,"10/37",[16,1,1,986,1382,"none"]],["R",2,"0,1,2,-1>-1,0,1,2",0,"0/37",null],["L",1,"-1,0,1,2>0,1,2,-1",46911,"10/37",[16,3,1,58,454,"none"]],["L",4,"0,1,2,-1>1,-2,-1,0",42683,"10/37",[15,2,1,58,454,"none"]]]
motion2 post|1440x900|N4|gap420 [["R",2,"0,1,2,-1>-1,0,1,2",0,"0/27",null],["R",3,"-1,0,1,2>-2,-1,0,1",0,"0/26",null],["R",4,"-2,-1,0,1>1,-2,-1,0",46598,"10/26",[16,0,1,986,1382,"none"]],["R",1,"1,-2,-1,0>0,1,2,-1",153282,"11/26",[16,1,1,986,1382,"none"]],["R",2,"0,1,2,-1>-1,0,1,2",0,"0/26",null],["L",1,"-1,0,1,2>0,1,2,-1",46867,"10/26",[15,3,1,58,454,"none"]],["L",4,"0,1,2,-1>1,-2,-1,0",48373,"11/26",[17,2,1,58,454,"none"]]]
motion2 post|1440x900|N6|gap600 [["R",2,"0,1,2,3,-2,-1>-1,0,1,2,3,-2",0,"0/38",null],["R",3,"-1,0,1,2,3,-2>-2,-1,0,1,2,3",0,"0/37",null],["R",4,"-2,-1,0,1,2,3>-3,-2,-1,0,1,2",0,"0/37",null],["R",5,"-3,-2,-1,0,1,2>2,-3,-2,-1,0,1",0,"0/37",null],["R",6,"2,-3,-2,-1,0,1>1,2,-3,-2,-1,0",0,"0/37",null],["L",5,"1,2,-3,-2,-1,0>2,-3,-2,-1,0,1",0,"0/37",null],["L",4,"2,-3,-2,-1,0,1>-3,-2,-1,0,1,2",0,"0/37",null]]
motion2 post|1440x900|N6|gap420 [["R",2,"0,1,2,3,-2,-1>-1,0,1,2,3,-2",0,"0/27",null],["R",3,"-1,0,1,2,3,-2>-2,-1,0,1,2,3",0,"0/26",null],["R",4,"-2,-1,0,1,2,3>-3,-2,-1,0,1,2",0,"0/26",null],["R",5,"-3,-2,-1,0,1,2>2,-3,-2,-1,0,1",0,"0/26",null],["R",6,"2,-3,-2,-1,0,1>1,2,-3,-2,-1,0",0,"0/26",null],["L",5,"1,2,-3,-2,-1,0>2,-3,-2,-1,0,1",0,"0/26",null],["L",4,"2,-3,-2,-1,0,1>-3,-2,-1,0,1,2",0,"0/26",null]]
motion2 post|601x800|N3S|gap600 [["R",2,"0,1,-1>-1,0,1",49134,"11/38",[0,2,1,567,963,"none"]],["R",3,"-1,0,1>1,-1,0",43531,"10/37",[16,0,1,567,963,"none"]],["R",1,"1,-1,0>0,1,-1",119895,"10/37",[16,1,1,567,963,"none"]],["R",2,"0,1,-1>-1,0,1",43790,"10/37",[16,2,1,567,963,"none"]],["R",3,"-1,0,1>1,-1,0",43541,"10/36",[16,0,1,567,963,"none"]],["L",2,"1,-1,0>-1,0,1",119467,"10/37",[15,0,1,-361,35,"none"]],["L",1,"-1,0,1>0,1,-1",43995,"10/37",[16,2,1,-361,35,"none"]]]
motion2 post|601x800|N3S|gap420 [["R",2,"0,1,-1>-1,0,1",49134,"11/27",[0,2,1,567,963,"none"]],["R",3,"-1,0,1>1,-1,0",49416,"11/26",[15,0,1,567,963,"none"]],["R",1,"1,-1,0>0,1,-1",136130,"11/26",[16,1,1,567,963,"none"]],["R",2,"0,1,-1>-1,0,1",49134,"11/26",[16,2,1,567,963,"none"]],["R",3,"-1,0,1>1,-1,0",49416,"11/26",[17,0,1,567,963,"none"]],["L",2,"1,-1,0>-1,0,1",119195,"10/26",[15,0,1,-361,35,"none"]],["L",1,"-1,0,1>0,1,-1",49416,"11/26",[16,2,1,-361,35,"none"]]]
motion2 post|601x800|N4|gap600 [["R",2,"0,1,2,-1>-1,0,1,2",0,"0/38",null],["R",3,"-1,0,1,2>-2,-1,0,1",0,"0/37",null],["R",4,"-2,-1,0,1>1,-2,-1,0",43576,"10/37",[16,0,1,567,963,"none"]],["R",1,"1,-2,-1,0>0,1,2,-1",119914,"10/37",[16,1,1,567,963,"none"]],["R",2,"0,1,2,-1>-1,0,1,2",0,"0/37",null],["L",1,"-1,0,1,2>0,1,2,-1",43995,"10/37",[17,3,1,-361,35,"none"]],["L",4,"0,1,2,-1>1,-2,-1,0",40213,"10/37",[16,2,1,-361,35,"none"]]]
motion2 post|601x800|N4|gap420 [["R",2,"0,1,2,-1>-1,0,1,2",0,"0/27",null],["R",3,"-1,0,1,2>-2,-1,0,1",0,"0/26",null],["R",4,"-2,-1,0,1>1,-2,-1,0",43754,"10/26",[15,0,1,567,963,"none"]],["R",1,"1,-2,-1,0>0,1,2,-1",136130,"11/26",[16,1,1,567,963,"none"]],["R",2,"0,1,2,-1>-1,0,1,2",0,"0/26",null],["L",1,"-1,0,1,2>0,1,2,-1",43892,"10/26",[16,3,1,-361,35,"none"]],["L",4,"0,1,2,-1>1,-2,-1,0",45589,"11/26",[17,2,1,-361,35,"none"]]]
motion2 post|601x800|N6|gap600 [["R",2,"0,1,2,3,-2,-1>-1,0,1,2,3,-2",0,"0/38",null],["R",3,"-1,0,1,2,3,-2>-2,-1,0,1,2,3",0,"0/37",null],["R",4,"-2,-1,0,1,2,3>-3,-2,-1,0,1,2",0,"0/37",null],["R",5,"-3,-2,-1,0,1,2>2,-3,-2,-1,0,1",0,"0/37",null],["R",6,"2,-3,-2,-1,0,1>1,2,-3,-2,-1,0",0,"0/37",null],["L",5,"1,2,-3,-2,-1,0>2,-3,-2,-1,0,1",0,"0/37",null],["L",4,"2,-3,-2,-1,0,1>-3,-2,-1,0,1,2",0,"0/37",null]]
motion2 post|601x800|N6|gap420 [["R",2,"0,1,2,3,-2,-1>-1,0,1,2,3,-2",0,"0/27",null],["R",3,"-1,0,1,2,3,-2>-2,-1,0,1,2,3",0,"0/26",null],["R",4,"-2,-1,0,1,2,3>-3,-2,-1,0,1,2",0,"0/26",null],["R",5,"-3,-2,-1,0,1,2>2,-3,-2,-1,0,1",0,"0/26",null],["R",6,"2,-3,-2,-1,0,1>1,2,-3,-2,-1,0",0,"0/26",null],["L",5,"1,2,-3,-2,-1,0>2,-3,-2,-1,0,1",0,"0/26",null],["L",4,"2,-3,-2,-1,0,1>-3,-2,-1,0,1,2",0,"0/26",null]]
motion2 post|844x390|N3S|gap600 [["R",2,"0,1,-1>-1,0,1",52334,"11/38",[0,2,1,688,1084,"none"]],["R",3,"-1,0,1>1,-1,0",46134,"10/37",[16,0,1,688,1084,"none"]],["R",1,"1,-1,0>0,1,-1",87606,"10/36",[17,1,1,688,1084,"none"]],["R",2,"0,1,-1>-1,0,1",46347,"10/37",[15,2,1,688,1084,"none"]],["R",3,"-1,0,1>1,-1,0",46118,"10/37",[16,0,1,688,1084,"none"]],["L",2,"1,-1,0>-1,0,1",87573,"10/36",[16,0,1,-240,156,"none"]],["L",1,"-1,0,1>0,1,-1",46370,"10/37",[16,2,1,-240,156,"none"]]]
motion2 post|844x390|N3S|gap420 [["R",2,"0,1,-1>-1,0,1",52334,"11/27",[0,2,1,688,1084,"none"]],["R",3,"-1,0,1>1,-1,0",52334,"11/26",[16,0,1,688,1084,"none"]],["R",1,"1,-1,0>0,1,-1",100076,"11/26",[15,1,1,688,1084,"none"]],["R",2,"0,1,-1>-1,0,1",52334,"11/26",[15,2,1,688,1084,"none"]],["R",3,"-1,0,1>1,-1,0",52334,"11/26",[16,0,1,688,1084,"none"]],["L",2,"1,-1,0>-1,0,1",87363,"10/26",[16,0,1,-240,156,"none"]],["L",1,"-1,0,1>0,1,-1",52334,"11/26",[15,2,1,-240,156,"none"]]]
motion2 post|844x390|N4|gap600 [["R",2,"0,1,2,-1>-1,0,1,2",0,"0/38",null],["R",3,"-1,0,1,2>-2,-1,0,1",0,"0/37",null],["R",4,"-2,-1,0,1>1,-2,-1,0",46124,"10/37",[16,0,1,688,1084,"none"]],["R",1,"1,-2,-1,0>0,1,2,-1",87586,"10/37",[16,1,1,688,1084,"none"]],["R",2,"0,1,2,-1>-1,0,1,2",0,"0/37",null],["L",1,"-1,0,1,2>0,1,2,-1",46379,"10/37",[16,3,1,-240,156,"none"]],["L",4,"0,1,2,-1>1,-2,-1,0",46111,"10/37",[16,2,1,-240,156,"none"]]]
